Name,Gender,City,Frequency,Item,Spends
Vikram,M,Patna,Never,Biryani,14
Vikram,F,Pune,Once,Pav Bhaji,82
Arjun,M,Patna,Monthly,Pizza,35
Suri,F,Pune,Never,Juice,52
Ishita,F,Jaipur,Monthly,Salad,8
Arjun,F,Mumbai,Never,Noodles,88
Ishita,M,Delhi,Once,Juice,90
Vikram,M,Pune,Daily,Biryani,62
Megha,M,Jaipur,Daily,Chowmein,25
Aman,M,Kolkata,Weekly,Dosa,98
Anu,F,Kolkata,Once,Coffee,56
Arjun,F,Delhi,Monthly,Biryani,34
Neha,F,Kolkata,Weekly,Salad,83
Anu,M,Gurgaon,Monthly,Juice,12
Ravi,F,Delhi,Once,Dosa,94
Megha,F,Jaipur,Monthly,Momos,72
Pooja,M,Delhi,Monthly,Coffee,36
Swati,F,Pune,Never,Pasta,61
Nitish,M,Mumbai,Daily,Samosa,96
Sneha,F,Chennai,Weekly,Fries,94
Megha,F,Kolkata,Never,Tea,59
Aakash,M,Kolkata,Weekly,Dosa,6
Arjun,M,Patna,Daily,Samosa,6
Vikram,F,Patna,Monthly,Paneer,69
Mukku,F,Mumbai,Daily,Vada,41
Tina,M,Jaipur,Weekly,Burger,74
Arjun,F,Pune,Monthly,Vada,66
Arjun,F,Bangalore,Weekly,Ice Cream,39
Simran,M,Jaipur,Monthly,Juice,50
Nitish,F,Hyderabad,Daily,Coffee,98
Nitish,M,Delhi,Monthly,Vada,22
Rahul,F,Hyderabad,Weekly,Fries,64
Rahul,F,Noida,Daily,Coffee,36
Simran,M,Delhi,Never,Fries,28
Sneha,F,Noida,Monthly,Juice,65
Neha,F,Jaipur,Once,Vada,54
Anu,M,Mumbai,Daily,Rolls,9
Ravi,F,Gurgaon,Daily,Rolls,60
Ravi,F,Hyderabad,Weekly,Coffee,38
Ravi,M,Delhi,Daily,Biryani,31
Simran,F,Jaipur,Weekly,Tea,32
Ravi,F,Patna,Monthly,Tea,100
Ishita,F,Patna,Daily,Dosa,91
Vikram,F,Gurgaon,Daily,Vada,86
Rajiv,F,Chennai,Weekly,Coffee,25
Simran,M,Hyderabad,Weekly,Dosa,83
Pooja,M,Noida,Monthly,Momos,15
Nitish,M,Hyderabad,Never,Salad,19
Nitish,F,Delhi,Once,Rolls,41
Arjun,M,Noida,Weekly,Pizza,27
Tina,M,Mumbai,Once,Ice Cream,24
Kiran,F,Gurgaon,Weekly,Rolls,17
Arjun,F,Kolkata,Weekly,Salad,40
Nitish,M,Mumbai,Weekly,Tea,95
Tina,F,Hyderabad,Never,Biryani,65
Suri,M,Gurgaon,Once,Pasta,57
Neha,M,Delhi,Weekly,Salad,79
Mukku,M,Mumbai,Once,Biryani,10
Simran,M,Patna,Weekly,Vada,55
Vikram,F,Bangalore,Daily,Pizza,7
Nitish,F,Noida,Once,Pasta,61
Simran,F,Noida,Daily,Burger,83
Rajiv,M,Pune,Once,Fries,62
Arjun,M,Kolkata,Monthly,Rolls,47
Ravi,M,Chennai,Weekly,Coffee,82
Mukku,M,Pune,Never,Dosa,87
Aman,F,Patna,Once,Ice Cream,25
Suri,F,Gurgaon,Weekly,Dosa,36
Mukku,M,Gurgaon,Once,Samosa,6
Rahul,F,Delhi,Monthly,Tea,63
Simran,F,Noida,Daily,Dosa,21
Rahul,F,Patna,Weekly,Rolls,99
Mukku,F,Bangalore,Never,Noodles,99
Sneha,F,Hyderabad,Once,Sandwich,94
Mukku,M,Noida,Daily,Fries,15
Rajiv,F,Bangalore,Weekly,Vada,16
Anu,F,Jaipur,Monthly,Samosa,48
Ishita,M,Hyderabad,Once,Pizza,75
Aakash,M,Hyderabad,Once,Momos,24
Sneha,F,Delhi,Weekly,Ice Cream,83
Swati,F,Bangalore,Monthly,Fries,93
Ravi,M,Hyderabad,Weekly,Burger,53
Tina,F,Mumbai,Weekly,Ice Cream,24
Anu,F,Noida,Never,Vada,69
Aman,M,Pune,Never,Biryani,9
Sneha,F,Hyderabad,Once,Momos,27
Pooja,F,Chennai,Never,Fries,67
Sneha,F,Patna,Daily,Momos,31
Kiran,F,Gurgaon,Monthly,Vada,88
Aakash,F,Mumbai,Weekly,Pizza,53
Swati,F,Jaipur,Monthly,Dosa,59
Neha,F,Noida,Once,Ice Cream,10
Vikram,M,Jaipur,Never,Coffee,82
Ishita,M,Jaipur,Daily,Paneer,42
Pooja,F,Pune,Never,Noodles,54
Neha,M,Hyderabad,Once,Noodles,20
Aakash,M,Jaipur,Never,Vada,26
Rajiv,M,Delhi,Once,Pizza,97
Arjun,F,Mumbai,Daily,Dosa,85
Pooja,M,Gurgaon,Daily,Samosa,26
Kiran,M,Chennai,Never,Pav Bhaji,59
Ravi,F,Delhi,Never,Momos,33
Suri,F,Bangalore,Once,Sandwich,8
Mukku,M,Hyderabad,Once,Samosa,69
Kiran,F,Mumbai,Never,Pav Bhaji,69
Sneha,M,Pune,Monthly,Pav Bhaji,97
Aman,M,Hyderabad,Once,Vada,24
Swati,F,Mumbai,Monthly,Tea,64
Mukku,M,Chennai,Daily,Chowmein,22
Suri,F,Gurgaon,Monthly,Momos,27
Ravi,F,Patna,Weekly,Pasta,91
Kiran,F,Chennai,Weekly,Salad,5
Kiran,M,Hyderabad,Once,Burger,26
Megha,M,Delhi,Daily,Pasta,96
Rajiv,M,Hyderabad,Daily,Vada,57
Rajiv,M,Bangalore,Daily,Coffee,45
Megha,M,Gurgaon,Daily,Ice Cream,85
Kiran,M,Gurgaon,Once,Pav Bhaji,37
Arjun,F,Mumbai,Daily,Ice Cream,26
Ishita,F,Jaipur,Daily,Dosa,89
Anu,F,Delhi,Daily,Noodles,67
Rajiv,F,Gurgaon,Weekly,Coffee,24
Rahul,F,Delhi,Once,Samosa,99
Megha,M,Jaipur,Daily,Momos,93
Rajiv,M,Patna,Once,Vada,74
Rahul,M,Chennai,Monthly,Paneer,48
Tina,F,Pune,Weekly,Salad,25
Sneha,M,Gurgaon,Monthly,Chowmein,82
Kiran,M,Jaipur,Monthly,Tea,45
Sneha,F,Gurgaon,Once,Sandwich,14
Arjun,M,Kolkata,Never,Vada,77
Mukku,M,Jaipur,Never,Fries,93
Swati,M,Gurgaon,Weekly,Chowmein,5
Pooja,F,Patna,Daily,Chowmein,34
Simran,F,Pune,Never,Pav Bhaji,79
Sneha,F,Hyderabad,Daily,Samosa,39
Neha,F,Noida,Monthly,Chowmein,71
Ravi,F,Patna,Monthly,Pizza,45
Pooja,M,Kolkata,Once,Paneer,16
Megha,F,Gurgaon,Never,Tea,79
Pooja,F,Bangalore,Monthly,Coffee,22
Sneha,F,Chennai,Monthly,Juice,5
Anu,F,Jaipur,Once,Pizza,43
Anu,M,Noida,Monthly,Dosa,10
Anu,F,Noida,Weekly,Juice,49
Tina,M,Patna,Once,Salad,70
Ravi,M,Noida,Once,Tea,16
Kiran,F,Hyderabad,Once,Burger,85
Arjun,M,Pune,Daily,Salad,41
Aakash,F,Patna,Daily,Dosa,33
Nitish,F,Pune,Monthly,Juice,78
Aman,F,Bangalore,Daily,Samosa,94
Aakash,F,Kolkata,Never,Coffee,53
Aakash,M,Gurgaon,Never,Juice,25
Arjun,F,Noida,Monthly,Fries,68
Suri,M,Jaipur,Never,Momos,88
Rajiv,M,Chennai,Weekly,Noodles,40
Ravi,F,Chennai,Daily,Chowmein,67
Arjun,F,Patna,Never,Noodles,15
Simran,F,Delhi,Once,Chowmein,5
Suri,F,Bangalore,Daily,Biryani,99
Megha,F,Jaipur,Once,Samosa,51
Rahul,M,Gurgaon,Monthly,Vada,35
Anu,F,Pune,Weekly,Paneer,48
Swati,M,Mumbai,Weekly,Tea,98
Neha,F,Patna,Daily,Ice Cream,72
Tina,M,Chennai,Once,Momos,84
Ravi,F,Hyderabad,Once,Rolls,22
Neha,M,Mumbai,Never,Ice Cream,68
Vikram,F,Jaipur,Daily,Pav Bhaji,37
Arjun,M,Jaipur,Daily,Sandwich,23
Sneha,M,Bangalore,Once,Dosa,71
Tina,F,Chennai,Monthly,Burger,65
Simran,M,Delhi,Daily,Fries,93
Anu,M,Kolkata,Monthly,Chowmein,39
Suri,M,Noida,Once,Momos,37
Aakash,F,Mumbai,Daily,Pizza,43
Neha,M,Hyderabad,Weekly,Juice,32
Tina,M,Mumbai,Weekly,Biryani,79
Vikram,M,Delhi,Daily,Salad,89
Mukku,F,Pune,Weekly,Salad,20
Simran,M,Bangalore,Never,Tea,14
Megha,M,Patna,Once,Noodles,91
Kiran,M,Jaipur,Daily,Burger,10
Nitish,F,Chennai,Weekly,Coffee,67
Kiran,M,Pune,Never,Pav Bhaji,31
Mukku,M,Delhi,Daily,Rolls,73
Rajiv,F,Gurgaon,Weekly,Burger,22
Rahul,F,Chennai,Never,Rolls,80
Suri,F,Noida,Daily,Fries,88
Suri,M,Kolkata,Once,Dosa,17
Rahul,F,Chennai,Never,Paneer,82
Anu,M,Delhi,Once,Sandwich,7
Ravi,F,Kolkata,Monthly,Salad,87
Aman,M,Hyderabad,Monthly,Ice Cream,28
Arjun,F,Kolkata,Monthly,Coffee,67
Aakash,M,Mumbai,Once,Tea,31
Kiran,F,Pune,Monthly,Rolls,30
Arjun,F,Bangalore,Never,Vada,62
Kiran,F,Gurgaon,Weekly,Ice Cream,19
Suri,F,Mumbai,Once,Sandwich,92
Sneha,F,Gurgaon,Once,Coffee,94
Nitish,M,Hyderabad,Monthly,Juice,22
Ishita,F,Bangalore,Never,Coffee,43
Simran,M,Delhi,Daily,Dosa,95
Sneha,M,Chennai,Daily,Pasta,25
Swati,F,Delhi,Daily,Burger,69
Pooja,M,Gurgaon,Once,Tea,5
Arjun,M,Mumbai,Weekly,Vada,22
Pooja,F,Gurgaon,Monthly,Chowmein,65
Pooja,M,Chennai,Once,Sandwich,57
Rajiv,F,Hyderabad,Weekly,Paneer,62
Mukku,M,Pune,Daily,Dosa,98
Megha,F,Kolkata,Daily,Fries,42
Aman,F,Kolkata,Weekly,Sandwich,78
Neha,F,Delhi,Weekly,Sandwich,44
Mukku,F,Gurgaon,Daily,Paneer,82
Simran,M,Chennai,Daily,Vada,68
Ravi,F,Gurgaon,Weekly,Burger,35
Megha,F,Hyderabad,Daily,Tea,13
Aman,M,Gurgaon,Never,Coffee,65
Arjun,F,Patna,Weekly,Dosa,82
Simran,M,Delhi,Weekly,Fries,76
Ravi,M,Jaipur,Once,Biryani,49
Arjun,M,Jaipur,Once,Dosa,34
Rahul,F,Chennai,Daily,Fries,76
Ravi,F,Pune,Monthly,Noodles,50
Pooja,M,Pune,Weekly,Chowmein,61
Tina,M,Jaipur,Once,Juice,98
Kiran,F,Pune,Never,Pizza,11
Aman,F,Gurgaon,Once,Pizza,38
Pooja,M,Patna,Weekly,Vada,15
Pooja,F,Kolkata,Monthly,Vada,79
Neha,M,Pune,Daily,Burger,61
Megha,M,Jaipur,Once,Vada,82
Tina,F,Noida,Daily,Tea,9
Anu,F,Pune,Weekly,Pasta,96
Megha,F,Mumbai,Daily,Biryani,54
Rahul,M,Delhi,Once,Ice Cream,5
Aman,M,Jaipur,Once,Pizza,90
Tina,M,Hyderabad,Weekly,Salad,94
Suri,F,Chennai,Daily,Paneer,88
Pooja,F,Mumbai,Never,Chowmein,15
Rajiv,F,Gurgaon,Daily,Rolls,35
Rajiv,M,Noida,Weekly,Dosa,33
Suri,F,Noida,Never,Samosa,78
Kiran,F,Mumbai,Never,Pasta,39
Tina,F,Patna,Daily,Pizza,75
Simran,F,Mumbai,Daily,Pasta,91
Vikram,M,Bangalore,Weekly,Dosa,85
Rajiv,F,Delhi,Weekly,Pizza,42
Neha,M,Hyderabad,Monthly,Momos,21
Rahul,M,Delhi,Monthly,Biryani,25
Megha,M,Jaipur,Daily,Noodles,61
Simran,F,Chennai,Weekly,Vada,25
Ravi,F,Jaipur,Once,Pav Bhaji,20
Anu,M,Gurgaon,Daily,Burger,16
Simran,F,Delhi,Monthly,Burger,93
Arjun,F,Patna,Never,Burger,45
Tina,F,Hyderabad,Once,Dosa,36
Kiran,F,Kolkata,Daily,Samosa,39
Sneha,M,Delhi,Once,Momos,93
Swati,M,Delhi,Daily,Vada,78
Tina,M,Kolkata,Monthly,Chowmein,45
Ravi,F,Noida,Daily,Pasta,58
Arjun,F,Hyderabad,Once,Noodles,85
Rajiv,M,Bangalore,Monthly,Sandwich,41
Arjun,F,Patna,Daily,Coffee,96
Rahul,F,Kolkata,Monthly,Juice,30
Nitish,M,Patna,Monthly,Pav Bhaji,53
Pooja,M,Patna,Monthly,Pav Bhaji,87
Aman,M,Delhi,Monthly,Noodles,8
Vikram,F,Chennai,Daily,Chowmein,60
Aman,F,Patna,Daily,Momos,93
Pooja,F,Noida,Never,Rolls,35
Rahul,F,Patna,Daily,Samosa,95
Pooja,F,Patna,Never,Burger,60
Anu,M,Chennai,Weekly,Biryani,95
Tina,F,Mumbai,Weekly,Juice,57
Simran,F,Hyderabad,Once,Paneer,88
Rahul,M,Kolkata,Daily,Noodles,39
Rajiv,F,Jaipur,Never,Rolls,91
Ishita,F,Hyderabad,Monthly,Dosa,45
Ishita,F,Bangalore,Once,Momos,78
Neha,F,Pune,Never,Vada,19
Ravi,F,Kolkata,Daily,Biryani,87
Rajiv,F,Jaipur,Weekly,Pav Bhaji,97
Megha,F,Gurgaon,Monthly,Rolls,14
Mukku,F,Bangalore,Never,Chowmein,27
Rahul,F,Noida,Never,Pav Bhaji,36
Arjun,F,Gurgaon,Weekly,Tea,12
Megha,F,Hyderabad,Monthly,Vada,87
Mukku,F,Chennai,Monthly,Tea,58
Mukku,F,Noida,Monthly,Coffee,38
Aman,M,Hyderabad,Monthly,Biryani,24
Ishita,F,Kolkata,Once,Juice,30
Tina,F,Delhi,Once,Dosa,6
Anu,M,Gurgaon,Daily,Ice Cream,67
Simran,F,Mumbai,Weekly,Momos,81
Nitish,F,Mumbai,Daily,Burger,34
Anu,M,Kolkata,Weekly,Chowmein,57
Neha,M,Pune,Never,Vada,10
Megha,F,Noida,Daily,Chowmein,73
Mukku,M,Bangalore,Never,Burger,90
Mukku,F,Gurgaon,Monthly,Samosa,30
Aakash,F,Pune,Never,Rolls,35
Rajiv,M,Gurgaon,Once,Noodles,92
Anu,M,Chennai,Weekly,Juice,51
Nitish,M,Pune,Never,Coffee,84
Swati,F,Gurgaon,Daily,Pav Bhaji,8
Ravi,M,Jaipur,Once,Pasta,78
Aakash,M,Delhi,Weekly,Burger,60
Ravi,F,Kolkata,Weekly,Coffee,41
Aakash,F,Hyderabad,Once,Momos,23
Vikram,M,Delhi,Weekly,Chowmein,58
Tina,M,Mumbai,Once,Pav Bhaji,50
Kiran,F,Noida,Monthly,Burger,13
Neha,M,Pune,Once,Momos,16
Pooja,F,Gurgaon,Never,Sandwich,5
Anu,F,Patna,Monthly,Coffee,98
Rahul,M,Kolkata,Never,Chowmein,43
Pooja,F,Bangalore,Monthly,Burger,36
Aman,F,Noida,Once,Chowmein,55
Aakash,F,Gurgaon,Once,Burger,15
Tina,M,Noida,Weekly,Sandwich,25
Sneha,F,Kolkata,Monthly,Samosa,60
Nitish,M,Chennai,Never,Burger,17
Vikram,F,Gurgaon,Weekly,Samosa,22
Rahul,F,Noida,Never,Salad,92
Sneha,M,Noida,Once,Momos,14
Aakash,F,Hyderabad,Daily,Vada,61
Ishita,F,Pune,Monthly,Biryani,76
Pooja,F,Jaipur,Daily,Chowmein,40
Megha,M,Chennai,Never,Pav Bhaji,78
Pooja,M,Pune,Weekly,Pav Bhaji,94
Sneha,F,Kolkata,Once,Pizza,93
Mukku,F,Bangalore,Monthly,Vada,68
Mukku,F,Delhi,Daily,Tea,49
Aman,M,Jaipur,Weekly,Pav Bhaji,97
Aman,M,Patna,Daily,Dosa,16
Megha,M,Noida,Daily,Biryani,56
Suri,M,Kolkata,Never,Paneer,83
Sneha,M,Mumbai,Once,Vada,93
Arjun,F,Patna,Daily,Fries,68
Anu,M,Patna,Monthly,Pasta,59
Neha,M,Noida,Weekly,Biryani,57
Mukku,F,Kolkata,Weekly,Burger,73
Megha,M,Jaipur,Once,Fries,28
Mukku,F,Jaipur,Monthly,Noodles,90
Neha,F,Jaipur,Daily,Salad,73
Sneha,F,Chennai,Once,Dosa,41
Aman,F,Bangalore,Monthly,Vada,87
Kiran,M,Hyderabad,Never,Pav Bhaji,90
Pooja,F,Delhi,Weekly,Chowmein,84
Sneha,F,Pune,Monthly,Burger,87
Neha,M,Chennai,Never,Momos,60
Swati,M,Delhi,Monthly,Ice Cream,40
Aakash,F,Noida,Weekly,Tea,59
Aman,M,Mumbai,Weekly,Pasta,57
Nitish,M,Delhi,Weekly,Momos,94
Pooja,M,Jaipur,Daily,Burger,26
Swati,M,Mumbai,Daily,Pav Bhaji,30
Megha,F,Hyderabad,Monthly,Paneer,85
Sneha,F,Patna,Never,Tea,76
Sneha,F,Patna,Once,Momos,23
Ravi,F,Chennai,Daily,Pasta,87
Swati,M,Patna,Monthly,Sandwich,20
Aman,F,Pune,Monthly,Biryani,58
Simran,M,Jaipur,Once,Biryani,40
Neha,F,Jaipur,Monthly,Juice,15
Ravi,F,Delhi,Never,Rolls,18
Sneha,F,Hyderabad,Monthly,Vada,85
Simran,M,Delhi,Monthly,Pav Bhaji,81
Sneha,F,Jaipur,Weekly,Tea,66
Ravi,F,Jaipur,Monthly,Ice Cream,13
Tina,M,Kolkata,Weekly,Juice,72
Aman,F,Gurgaon,Weekly,Burger,76
Aakash,F,Noida,Once,Pizza,79
Aman,F,Hyderabad,Never,Juice,74
Megha,M,Delhi,Monthly,Coffee,40
Rajiv,M,Pune,Weekly,Salad,67
Kiran,F,Patna,Never,Chowmein,98
Ishita,M,Bangalore,Once,Juice,53
Nitish,F,Bangalore,Daily,Fries,25
Sneha,F,Patna,Never,Momos,47
Simran,M,Gurgaon,Once,Fries,76
Suri,F,Jaipur,Daily,Pizza,57
Megha,F,Noida,Weekly,Juice,31
Pooja,M,Patna,Once,Chowmein,22
Megha,M,Patna,Never,Vada,13
Neha,F,Hyderabad,Daily,Ice Cream,97
Neha,M,Mumbai,Never,Paneer,92
Pooja,M,Noida,Monthly,Salad,83
Simran,F,Patna,Monthly,Tea,7
Tina,M,Bangalore,Monthly,Noodles,88
